Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
13, 1.034, 1.069, 1.192, 0.243, -0.887, -1.413, -2.257, -2.463, 1.437, 2.260,     2.698, 3.416 
14, 0.067, 0.074, -0.106, -0.736, 1.160, 0.572, 0.858, 0.211, -0.997, -0.418,     -0.560, -0.527 
15, 2.020, 0.776, -0.166, -0.565, -0.553, -0.291, 0.261, 0.003, 1.568, 0.837,     -0.344, -0.385 
16, -0.625, -0.852, -0.156, 0.558, -0.478, 1.112, 0.825, 0.850, -0.020, -1.464,     -0.562, -0.456 
17, -1.161, -1.303, -1.980, -2.006, -0.332, -1.276, -0.635, -0.279, -0.458, -0.183,     -0.583, -0.685 
18, 0.424, 0.221, -0.320, 0.137, -0.416, 0.270, 0.161, 0.285, 0.503, -0.084,     -0.351, -0.323 
19, -1.204, -1.043, -0.647, -0.748, -0.416, -0.623, -0.730, -0.086, -0.405, -0.480,     -0.002, -0.394 
20, -1.917, -1.476, -1.583, -1.142, -0.542, -0.852, -1.532, -0.499, -0.691, -0.694,     0.153, -0.296 
21, -1.958, -1.027, -1.744, -1.616, -0.332, -1.543, 0.493, 0.890, -0.896, 0.332,     -0.929, -0.983 
22, 0.173, 0.017, 0.471, 0.340, -0.217, -0.522, -0.038, -1.572, 0.157, 0.378,     0.012, 1.319 
23, -0.676, -1.224, -1.287, -1.144, 0.956, 0.529, 0.843, 0.805, -1.194, -1.414,     -0.896, -0.847 
24, 0.567, 1.197, 0.736, 0.863, -0.273, -0.249, -0.337, -0.680, 0.428, 1.160,     0.280, 0.515 
25, 0.794, 0.119, 0.516, 0.999, 0.341, 0.551, 0.261, 1.102, -0.045, -0.368,     -0.124, -0.448 
26, -0.175, -0.248, -0.300, -0.462, -0.616, -0.796, -0.934, -0.454, 0.383, 0.380,     0.279, -0.100 
27, 1.009, 1.814, 1.444, 1.714, 0.298, 0.529, 0.214, 0.285, 0.099, 0.987,     0.201, 0.102 
28, -0.423, -1.208, 0.144, -0.001, -0.478, 0.529, 1.157, 1.132, 0.094, -1.401,     -0.591, -0.684 
29, -1.219, -1.021, 0.560, -0.291, -0.542, -1.810, 0.493, 0.568, -0.293, 0.605,     -0.217, -0.555 
30, -0.455, -0.540, 0.376, 0.978, -1.706, -1.616, -0.635, -0.844, 1.700, 0.893,     0.342, 0.705 
31, 0.305, 0.144, -0.470, -0.488, 0.718, 0.816, -0.337, -1.691, -0.584, -0.529,     -0.161, 1.091 
32, 0.507, 0.204, 0.555, 1.975, 0.546, 0.831, 0.858, 0.285, -0.356, -0.493,     -0.369, 0.172 
33, -0.769, -1.211, 2.589, 2.246, -1.814, -0.291, -1.830, -1.691, 1.654, -0.873,     2.715, 2.472 
34, -0.882, -1.280, -0.834, -0.571, -2.224, -2.163, -0.266, -0.844, 2.348, 0.710,     -0.330, 0.136 
35, -0.759, -1.034, -1.704, -1.797, -1.706, -1.413, -2.257, -0.844, 1.480, 0.202,     0.842, -0.314 
36, 0.596, 0.745, -0.215, -0.407, 0.183, 0.529, 0.528, 1.428, -0.002, 0.142,     -0.470, -0.859 
37, -0.583, -0.598, -0.967, -0.637, 0.751, 1.104, 1.157, 0.508, -1.017, -1.269,     -0.896, -0.620 
38, 0.417, -0.060, 0.284, 0.454, 1.570, 1.392, 1.157, 1.414, -1.103, -1.039,     -0.552, -0.672 
39, 1.025, 1.200, 0.871, 0.627, -0.217, 0.816, 0.825, 0.353, 0.615, 0.283,     -0.264, -0.224 
40, 0.510, -0.246, -1.087, -0.123, 1.780, 1.104, 0.825, 1.183, -1.187, -1.007,     -0.833, -0.727 
41, -0.675, -0.890, -0.874, -0.721, 0.088, 0.270, 0.560, 1.414, -0.565, -0.986,     -0.683, -0.922 
42, -0.441, 1.002, 0.473, 0.021, -0.542, 0.298, -0.934, -0.992, 0.151, 0.527,     0.605, 0.486 
43, -0.488, 0.336, 0.629, 0.784, 1.979, 1.392, 1.157, 0.805, -1.687, -0.751,     -0.457, -0.384 
